% # columns="iteration, evaluation, min max(neg(.)) min(pos(.)) max correlation, correlation matrix principle axes lengths  (sorted square roots of eigenvalues of correlation matrix)", seed=191369, Wed Dec 11 22:17:06 2019
1 11 -0.027338936845306 -0.0013745975757490612 0.0004420232437705044 0.05920088172854694 1 1 1 1 1 1 1 1 1 1 1 1
2 22 -0.04808099711559173 -0.0002007358394547004 0.00036986991438349567 0.08274989017571749 1 1 1 1 1 1 1 1 1 1 1 1
3 33 -0.05751912193978259 -0.0009980291740092307 0.00026440670298913155 0.08647431921421639 1 1 1 1 1 1 1 1 1 1 1 1
4 44 -0.059243545584457526 -0.0005028825664436942 0.0022307451834478907 0.0966664612164784 1 1 1 1 1 1 1 1 1 1 1 1
5 55 -0.07586244847242433 -0.00047253036967802867 0.00020851870467077948 0.11865860992584969 1 1 1 1 1 1 1 1 1 1 1 1
6 66 -0.07001324346552747 -0.0011853101024197937 0.004114139329746113 0.12620232148728647 1 1 1 1 1 1 1 1 1 1 1 1
7 77 -0.07777501231897005 -0.0012351947155120827 0.002268944528155866 0.14304079446410634 1 1 1 1 1 1 1 1 1 1 1 1
8 88 -0.09025081808062668 -0.0025797741717389273 0.0008736084007227521 0.14264312637208476 1 1 1 1 1 1 1 1 1 1 1 1
9 99 -0.09521229370884249 -0.00022710043139469757 0.0007283523906749723 0.18819045638965207 1 1 1 1 1 1 1 1 1 1 1 1
10 110 -0.10559505846618748 -0.00020275729342990407 0.0007900229474716666 0.19182391123012188 1 1 1 1 1 1 1 1 1 1 1 1
11 121 -0.10763578740688386 -0.003204982025378918 0.007927174648344438 0.1883705562331551 1 1 1 1 1 1 1 1 1 1 1 1
12 132 -0.0906544015411744 -0.0046610431571714695 0.0029462888270895874 0.22646676642935334 1 1 1 1 1 1 1 1 1 1 1 1
13 143 -0.09587059520889903 -0.0004455846922274442 0.0014983939379211923 0.2232219927893884 1 1 1 1 1 1 1 1 1 1 1 1
14 154 -0.11401400878856176 -0.004770735157649078 0.004556419776923958 0.21291739243384405 1 1 1 1 1 1 1 1 1 1 1 1
15 165 -0.13365501569045493 -0.006135467664607475 0.0017616460116761776 0.2268454518570698 1 1 1 1 1 1 1 1 1 1 1 1
16 176 -0.15808348940267528 -0.001134269763202418 0.0004336851600075163 0.24073464540004302 1 1 1 1 1 1 1 1 1 1 1 1
17 187 -0.1653678094958538 -0.001395652906185128 0.003529714242749953 0.23555926508185923 1 1 1 1 1 1 1 1 1 1 1 1
18 198 -0.17340055276006305 -0.009511555329038753 0.00610449188902032 0.23336064033901882 1 1 1 1 1 1 1 1 1 1 1 1
19 209 -0.17971393963485716 -0.00847325947229518 0.0018700431314342886 0.23763550018258167 1 1 1 1 1 1 1 1 1 1 1 1
20 220 -0.1892394007235507 -0.003648961365910768 0.0016741354241561418 0.24389663040532938 1 1 1 1 1 1 1 1 1 1 1 1
21 231 -0.21658376387954997 -0.0007320157337624607 6.143165815554618e-05 0.24411289759319182 1 1 1 1 1 1 1 1 1 1 1 1
22 242 -0.20511103781249507 -0.0029546896402395505 0.006483008392164741 0.24539937649935667 1 1 1 1 1 1 1 1 1 1 1 1
23 253 -0.2062087761964876 -0.0005481539841820066 0.0006377384282192794 0.2433869202023137 1 1 1 1 1 1 1 1 1 1 1 1
24 264 -0.19305945551705034 -0.0024946213403266547 0.002363832945873075 0.24334114037425228 1 1 1 1 1 1 1 1 1 1 1 1
25 275 -0.19523531685114562 -0.002040977564989955 0.005098927124077088 0.25083881224603277 1 1 1 1 1 1 1 1 1 1 1 1
26 286 -0.21833573075198537 -0.0035683218235120114 0.005053384902399086 0.2562034387754108 1 1 1 1 1 1 1 1 1 1 1 1
27 297 -0.18306187915003955 -0.0026480129575244815 0.009487569733812816 0.25318862573591233 1 1 1 1 1 1 1 1 1 1 1 1
28 308 -0.1874268660825559 -0.004820305290674661 0.006433529654008004 0.2359854344110478 1 1 1 1 1 1 1 1 1 1 1 1
29 319 -0.18138321041113667 -0.0010249635175639976 0.013044488649587401 0.25481608429670183 1 1 1 1 1 1 1 1 1 1 1 1
30 330 -0.17975573961471145 -0.0016545372985453048 0.001866509770825481 0.26790310091389247 1 1 1 1 1 1 1 1 1 1 1 1
31 341 -0.18933787044218994 -0.004311111510121073 0.008525442158775898 0.24838661526613554 1 1 1 1 1 1 1 1 1 1 1 1
32 352 -0.18475079443645429 -0.0013327841550838733 0.002674198981737466 0.2434963765542804 1 1 1 1 1 1 1 1 1 1 1 1
